,CARG,ORTools,Optimal Sol,difference1,rate1,difference2,rate2,difference3,rate3
TOTALCOST,7698.237287745013,7705.295063437542,7417.92,-7.057775692528594,-0.09159643640408402,280.31728774501335,3.7789203408100027,287.37506343754194,3.8740652829572433
TOTAL_NUMBER_OF VEHICLES,43.0,42.0,39.0,1.0,2.380952380952381,4.0,10.256410256410255,3.0,7.6923076923076925
CONSTRUCTION_TIME,7.3,,,,,,,,
IMPROVEMENT_TIME,1564.8,,,,,,,,
ELAPSED_TIME,1572.1,26.47554302215576,,1545.6244569778441,5837.932977179753,,,,
